nome_misura;regione;numero progetti
1.2 Abilitazione e facilitazione migrazione al Cloud;Abruzzo;461
1.2 Abilitazione e facilitazione migrazione al Cloud;Basilicata;213
1.2 Abilitazione e facilitazione migrazione al Cloud;Calabria;624
1.2 Abilitazione e facilitazione migrazione al Cloud;Campania;1249
1.2 Abilitazione e facilitazione migrazione al Cloud;Emilia-Romagna;677
1.2 Abilitazione e facilitazione migrazione al Cloud;Friuli-Venezia Giulia;199
1.2 Abilitazione e facilitazione migrazione al Cloud;Lazio;852
1.2 Abilitazione e facilitazione migrazione al Cloud;Liguria;337
1.2 Abilitazione e facilitazione migrazione al Cloud;Lombardia;2303
1.2 Abilitazione e facilitazione migrazione al Cloud;Marche;390
1.2 Abilitazione e facilitazione migrazione al Cloud;Molise;180
1.2 Abilitazione e facilitazione migrazione al Cloud;Piemonte;1513
1.2 Abilitazione e facilitazione migrazione al Cloud;Puglia;690
1.2 Abilitazione e facilitazione migrazione al Cloud;Sardegna;539
1.2 Abilitazione e facilitazione migrazione al Cloud;Sicilia;901
1.2 Abilitazione e facilitazione migrazione al Cloud;Toscana;692
1.2 Abilitazione e facilitazione migrazione al Cloud;Trentino-Alto Adige/Südtirol;374
1.2 Abilitazione e facilitazione migrazione al Cloud;Umbria;192
1.2 Abilitazione e facilitazione migrazione al Cloud;Valle d'Aosta/Vallée d'Aoste;101
1.2 Abilitazione e facilitazione migrazione al Cloud;Veneto;990
