nome_misura;regione;numero progetti
1.4.5 Digitalizzazione degli avvisi pubblici;Abruzzo;283
1.4.5 Digitalizzazione degli avvisi pubblici;Basilicata;124
1.4.5 Digitalizzazione degli avvisi pubblici;Calabria;375
1.4.5 Digitalizzazione degli avvisi pubblici;Campania;521
1.4.5 Digitalizzazione degli avvisi pubblici;Emilia-Romagna;317
1.4.5 Digitalizzazione degli avvisi pubblici;Friuli-Venezia Giulia;174
1.4.5 Digitalizzazione degli avvisi pubblici;Lazio;330
1.4.5 Digitalizzazione degli avvisi pubblici;Liguria;197
1.4.5 Digitalizzazione degli avvisi pubblici;Lombardia;1235
1.4.5 Digitalizzazione degli avvisi pubblici;Marche;195
1.4.5 Digitalizzazione degli avvisi pubblici;Molise;131
1.4.5 Digitalizzazione degli avvisi pubblici;Piemonte;1003
1.4.5 Digitalizzazione degli avvisi pubblici;Puglia;256
1.4.5 Digitalizzazione degli avvisi pubblici;Sardegna;286
1.4.5 Digitalizzazione degli avvisi pubblici;Sicilia;361
1.4.5 Digitalizzazione degli avvisi pubblici;Toscana;256
1.4.5 Digitalizzazione degli avvisi pubblici;Trentino-Alto Adige/Südtirol;237
1.4.5 Digitalizzazione degli avvisi pubblici;Umbria;82
1.4.5 Digitalizzazione degli avvisi pubblici;Valle d'Aosta/Vallée d'Aoste;62
1.4.5 Digitalizzazione degli avvisi pubblici;Veneto;535
