nome_misura;regione;numero_progetti
1.4.3 Adozione PagoPA e AppIO - AppIO;Abruzzo;286
1.4.3 Adozione PagoPA e AppIO - AppIO;Basilicata;131
1.4.3 Adozione PagoPA e AppIO - AppIO;Calabria;369
1.4.3 Adozione PagoPA e AppIO - AppIO;Campania;537
1.4.3 Adozione PagoPA e AppIO - AppIO;Emilia-Romagna;309
1.4.3 Adozione PagoPA e AppIO - AppIO;Friuli-Venezia Giulia;120
1.4.3 Adozione PagoPA e AppIO - AppIO;Lazio;352
1.4.3 Adozione PagoPA e AppIO - AppIO;Liguria;155
1.4.3 Adozione PagoPA e AppIO - AppIO;Lombardia;1155
1.4.3 Adozione PagoPA e AppIO - AppIO;Marche;190
1.4.3 Adozione PagoPA e AppIO - AppIO;Molise;129
1.4.3 Adozione PagoPA e AppIO - AppIO;Piemonte;828
1.4.3 Adozione PagoPA e AppIO - AppIO;Puglia;243
1.4.3 Adozione PagoPA e AppIO - AppIO;Sardegna;310
1.4.3 Adozione PagoPA e AppIO - AppIO;Sicilia;373
1.4.3 Adozione PagoPA e AppIO - AppIO;Toscana;243
1.4.3 Adozione PagoPA e AppIO - AppIO;Trentino-Alto Adige/Südtirol;263
1.4.3 Adozione PagoPA e AppIO - AppIO;Umbria;70
1.4.3 Adozione PagoPA e AppIO - AppIO;Valle d'Aosta/Vallée d'Aoste;64
1.4.3 Adozione PagoPA e AppIO - AppIO;Veneto;494
